"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"170","광주전남본부","해남지사","","","76897","7308220","0","0","0","0"
"171","광주전남본부","강진지사","","","104395","9029150","0","0","0","0"
"172","광주전남본부","영광지사","","","67160","12783130","0","0","2805.43","360213"
"173","광주전남본부","순천지사","","","104288","13012960","0","0","0","0"
"174","광주전남본부","순천지사","전력공급부","","4679","173670","0","0","2082.57","274180"
"175","광주전남본부","담양지사","","","47829","5696260","0","0","0","0"
"176","광주전남본부","화순지사","","","36555","4972740","0","0","0","0"
"177","광주전남본부","장성지사","","","46155","5392670","0","0","0","0"
"178","광주전남본부","나주지사","","","96166","12067940","0","0","1284.79","155434"
"179","광주전남본부","나주지사","전력공급부","","68294","4624180","0","0","34017.35","4158613"
"180","광주전남본부","여수지사","","","92349","9821440","0","0","0","0"
"181","광주전남본부","여수지사","배전운영부","","5115","168470","0","0","3052.52","373252"
"182","광주전남본부","고흥지사","","","63737","7163480","0","0","0","0"
"183","광주전남본부","신안지사","","","49599","5389380","0","0","0","0"
"184","광주전남본부","무안지사","","","42437","5214540","0","0","0","0"
"185","광주전남본부","함평지사","","","37368","4493310","0","0","0","0"
"186","광주전남본부","장흥지사","","","35386","4061260","0","0","644.72","93359"
"187","광주전남본부","완도지사","","","53546","5498780","0","0","0","0"
"188","광주전남본부","완도지사","전력공급팀","","34776","6876800","0","0","163.2","22528"
"189","광주전남본부","영암지사","","","41622","3810450","0","0","0","0"
"190","광주전남본부","영암지사","전력공급부","","246","96120","0","0","0","0"
"191","광주전남본부","진도지사","","","43302","4004480","0","0","0","0"
"192","광주전남본부","구례지사","","","42347","5535300","0","0","0","0"
"193","광주전남본부","구례지사","전력공급팀","","4546","211500","0","0","1812.8","282747"
"194","광주전남본부","곡성지사","","","34297","4009770","0","0","0","0"
"195","광주전남본부","광양지사","","","76626","8642140","0","0","0","0"
"196","광주전남본부","광양지사","전력공급부","","4690","223480","0","0","4632.09","569567"
"197","광주전남본부","순천전력지사","","","12949","1853210","0","0","0","0"
"198","광주전남본부","전력사업처","","","6572","953480","0","0","0","0"
"199","광주전남본부","전력사업처","전력공급부","신사업연계파트","2072","76890","0","0","1211.83","146517"
"200","광주전남본부","전력관리처","","","341238","50646410","0","0","0","0"
"201","광주전남본부","전력관리처","변전운영부","","46025","5337930","0","0","0","0"
"202","광주전남본부","기획관리실","","","448765","52607290","0","0","0","0"
"광주전남본부 소계","","","","","2625213","326034660","0","0","59692.65","7352208"
"203","대구본부","달성전력지사","","","2599","196190","0","0","0","0"
"204","대구본부","경산지사","","","7651","706490","0","0","0","0"
"205","대구본부","경산지사","고객지원부","수요관리파트","35740","5847200","0","0","0","0"
"206","대구본부","포항전력지사","","","31033","4448720","0","0","0","0"
"207","대구본부","영천지사","","","56001","5565190","0","0","0","0"
"208","대구본부","서대구지사","","","80482","11304640","0","0","0","0"
"209","대구본부","김천지사","","","40596","6731040","0","0","0","0"
"210","대구본부","경주지사","","","110184","14283650","0","0","0","0"
"211","대구본부","포항지사","","","77091","10291060","0","0","0","0"
"212","대구본부","울릉지사","","","12465","1721900","0","0","0","0"
"213","대구본부","고령지사","","","5508","1051160","0","0","0","0"
"214","대구본부","영덕지사","","","39788","5972530","0","0","0","0"
"215","대구본부","칠곡지사","","","41901","6954610","0","0","0","0"
"216","대구본부","칠곡전력지사","","","5898","1544560","0","0","0","0"
"217","대구본부","성주지사","","","51073","10255680","0","0","0","0"
"218","대구본부","남대구지사","","","77037","11469870","0","0","0","0"
"219","대구본부","동대구지사","","","86807","11973590","0","0","0","0"
"220","대구본부","북포항지사","","","57056","8774830","0","0","0","0"
"221","대구본부","전력사업처","","","15418","2673240","0","0","0","0"
"222","대구본부","전력관리처","","","245039","29526500","0","0","0","0"
"223","대구본부","기획관리실","","","372230","49371450","0","0","0","0"
"대구본부 소계","","","","","1451597","200664100","0","0","0","0"
"224","경북본부","구미전력지사","","","49044","6615930","0","0","0","0"
"225","경북본부","예천지사","","","41271","4065300","0","0","0","0"
"226","경북본부","영주지사","","","62413","8326180","0","0","0","0"
"227","경북본부","구미지사","","","94826","15360170","0","0","0","0"
"228","경북본부","상주지사","","","98934","13051410","0","0","0","0"
"229","경북본부","청송지사","","","21485","2456990","0","0","0","0"
"230","경북본부","영양지사","","","42695","4368210","0","0","0","0"
"231","경북본부","군위지사","고객지원팀","","25092","2844890","0","0","0","0"
"232","경북본부","봉화지사","","","35055","3650460","0","0","0","0"
"233","경북본부","의성지사","","","52138","6882170","0","0","0","0"
"234","경북본부","문경지사","","","61242","6398730","0","0","0","0"
"235","경북본부","울진지사","","","49162","6678610","0","0","1437.67","221166"
